net,length_um
net3,560.92
net2,537.66
net14,537.65
_195_,516.9
_189_,510.92
_176_,509.94
net12,499.615
_052_,495.06
_019_,490.94
_021_,486.88
_218_,480.84
_238_,479.315
_241_,463.145
_183_,450.56
_190_,444.645
net7,426.48
_217_,424.365
_193_,421.855
_197_,418.84
net18,410.76
net17,408.71
_198_,404.13
_200_,400.98
net19,399.88
net1,382.49
_045_,378.61
net15,378.12
_035_,375.56
_044_,373.17
_110_,370
_024_,362.73
_203_,356.76
_185_,355.4
net4,355.14
net9,351.82
_013_,351.42
net11,350.11
_092_,349.78
_182_,348.06
_240_,343.82
net8,343.6
net39,339.02
_077_,336.98
_180_,325.84
net13,318.86
_244_,317.93
_004_,315.06
_196_,308.7
_109_,302.84
_229_,300.63
_069_,299.76
net16,298.92
_003_,295.735
_245_,284.23
_152_,283.5
_065_,282.5
_066_,281.545
net6,280.22
_106_,278.52
_099_,276.44
_002_,276.22
_119_,272.84
_194_,270.88
_010_,268.74
net5,265.92
_105_,264.49
_084_,262.56
_171_,262.07
_209_,261.2
_071_,260.06
net47,257.42
_041_,256.7
_074_,255.655
_103_,253.82
_076_,253.78
_070_,252.86
_088_,250.92
net26,250.3
_227_,247.76
_108_,243.8
_090_,243.4
_036_,242.86
_224_,240.28
_123_,239.27
_116_,236.88
_064_,236.76
_223_,235.25
_202_,234.29
_062_,230.02
_008_,227.88
_208_,227.86
_199_,226.84
_022_,225.28
_093_,224.79
_230_,222.62
_039_,218.96
_204_,218.62
_081_,218.26
_011_,216.82
_161_,213.12
_212_,211.96
_100_,210.66
_222_,209.68
_075_,208.88
_187_,208.3
_181_,206.92
_055_,206.9
_120_,205.24
_107_,203.38
_005_,201.36
_095_,199.84
_030_,199.82
_233_,198.22
_177_,194.54
_073_,194.52
_134_,194.22
_072_,193.56
_143_,191.9
net29,190.86
_239_,190.44
_025_,188.56
_188_,188.08
_137_,187.94
_207_,187.88
_060_,187.59
_153_,187.33
_063_,187.2
_114_,187
_101_,186.86
_151_,186.83
net53,185.74
_126_,185.48
_053_,185.46
_067_,185.4
_139_,183.08
_006_,182.86
_094_,182.72
_054_,180.58
_027_,179.48
_165_,178.82
_168_,178.34
_169_,177.22
_104_,177.04
_112_,176.64
_156_,176.53
_172_,175.68
_210_,175.38
_089_,175.02
_141_,172.08
_136_,171.84
_061_,169.84
_164_,169.66
_211_,169.66
_154_,169.06
_083_,168.74
_091_,168.54
_146_,167.9
_040_,166.48
_150_,164.86
_009_,162.52
_080_,162.1
_121_,162.1
net27,161.96
_225_,161.64
_082_,161.49
_213_,159.62
_130_,156.76
_028_,155.54
_163_,154.76
net51,153.86
_140_,152
_235_,151.8
_097_,150.86
_147_,150.76
_056_,150.58
_086_,150.36
net50,150.24
_043_,149.4
_157_,147.78
_131_,146.62
_206_,146.14
_167_,145.52
_085_,144.26
_205_,142.58
_178_,140.92
_129_,140.62
_037_,140.52
_149_,139.68
_096_,139.66
net22,139.44
_020_,138.66
_058_,136.71
_221_,136.63
_117_,136.56
net20,135.76
_012_,135.46
_127_,135.08
_138_,134.98
_144_,134.42
_228_,134.22
net24,132.88
_047_,132.12
_038_,131.96
_042_,131.76
_033_,129.22
_170_,129.18
net30,128.04
_246_,127.78
_192_,126.16
_098_,125.86
_031_,125.78
_059_,123.88
_111_,123.16
_017_,122.36
_122_,122.2
net10,122.04
_048_,121.54
_032_,118.18
_243_,118.08
_175_,115.24
_026_,113.96
_247_,113.62
_173_,107.32
_234_,106.74
_007_,106.72
net33,105.66
_029_,105.24
net28,104.66
_231_,104.4
_201_,103.76
_214_,100.38
_132_,99.5
_102_,99.44
_078_,98.94
_166_,98.24
_113_,97.72
_145_,96.98
_034_,95.7
_160_,94.42
net23,93.48
_216_,92.54
_220_,92.32
_237_,91.78
_135_,91.29
net37,90.46
_155_,88.58
net31,88.56
_191_,87.38
_049_,83.49
_186_,79.74
_162_,78.88
_016_,76.2
_046_,74.12
_118_,73.46
_142_,71.98
_125_,71.48
_051_,71.18
_219_,68.94
_001_,68.26
_128_,67.6
net38,66.98
_133_,66.74
_174_,65.5
net43,64.8
net41,64.2
_015_,63.81
_184_,63.4
net32,62.74
_232_,62.7
_215_,61.62
_236_,60.14
net34,59.28
net48,58.44
_068_,56.4
_000_,55.74
_179_,54.785
_057_,54.22
net52,53.06
_226_,52.48
_079_,50.58
net35,48.96
net44,38.82
_050_,36.04
_087_,33.82
_115_,33.44
_124_,32.36
_158_,31.09
_018_,30.68
net36,27.22
net49,24.12
_148_,22.32
_159_,18.9
_242_,18.36
_023_,17.68
_014_,17.34
net40,16.44
net21,15.96
net25,14.02
net42,7.14
A[4],6.43
B[0],6.43
A[2],6.31
A[6],6.31
B[2],6.31
opcode[1],6.31
B[4],6.09
A[0],5.97
net46,5.84
out[7],5.53
A[3],5.41
B[7],5.41
A[5],5.07
A[7],4.95
B[3],4.95
opcode[2],4.95
out[6],4.73
A[1],4.61
B[1],4.61
B[5],4.61
B[6],4.61
opcode[0],4.61
out[0],4.39
out[1],4.39
out[2],4.39
out[3],4.39
out[4],4.39
out[5],4.39
net45,2.3
